Product ID,Product Name,Category,Price (USD),Stock Status,Return Policy,Customer Support Info
1,Product 1,Home & Kitchen,89.47,Available,30-day return,"For installation assistance, check our user guide."
2,Product 2,Beauty,471.18,Available,30-day return,This item is eligible for free returns within 30 days.
3,Product 3,Electronics,17.6,Out of Stock,No return,"For warranty details, contact our support team."
4,Product 4,Toys,382.4,Out of Stock,No return,Shipping takes 5-7 business days.
5,Product 5,Electronics,198.46,Out of Stock,Exchange only,"For installation assistance, check our user guide."
6,Product 6,Toys,177.56,Available,Refund within 14 days,This item is eligible for free returns within 30 days.
7,Product 7,Clothing,426.89,Available,30-day return,"For warranty details, contact our support team."
8,Product 8,Sports,115.06,Available,No return,Shipping takes 5-7 business days.
9,Product 9,Electronics,337.11,Out of Stock,Exchange only,"For warranty details, contact our support team."
10,Product 10,Toys,415.54,Available,Exchange only,Shipping takes 5-7 business days.
11,Product 11,Electronics,422.15,Out of Stock,Exchange only,"For warranty details, contact our support team."
12,Product 12,Automotive,223.69,Out of Stock,Exchange only,This item is eligible for free returns within 30 days.
13,Product 13,Electronics,441.03,Out of Stock,Refund within 14 days,This product is covered under our 1-year warranty.
14,Product 14,Beauty,44.42,Out of Stock,Exchange only,This product is covered under our 1-year warranty.
15,Product 15,Home & Kitchen,331.89,Out of Stock,30-day return,This product is covered under our 1-year warranty.
16,Product 16,Automotive,372.82,Available,Refund within 14 days,"For warranty details, contact our support team."
17,Product 17,Electronics,403.98,Available,30-day return,Shipping takes 5-7 business days.
18,Product 18,Sports,358.69,Available,Exchange only,This item is eligible for free returns within 30 days.
19,Product 19,Automotive,313.08,Out of Stock,No return,"For warranty details, contact our support team."
20,Product 20,Electronics,474.46,Available,Exchange only,Shipping takes 5-7 business days.
21,Product 21,Clothing,186.11,Out of Stock,Refund within 14 days,"For warranty details, contact our support team."
22,Product 22,Sports,56.99,Available,No return,Shipping takes 5-7 business days.
23,Product 23,Clothing,147.59,Available,30-day return,"For installation assistance, check our user guide."
24,Product 24,Toys,379.91,Available,No return,This item is eligible for free returns within 30 days.
25,Product 25,Electronics,242.35,Out of Stock,Refund within 14 days,Shipping takes 5-7 business days.
26,Product 26,Electronics,80.84,Out of Stock,Exchange only,This item is eligible for free returns within 30 days.
27,Product 27,Sports,234.3,Available,30-day return,This product is covered under our 1-year warranty.
28,Product 28,Home & Kitchen,451.94,Available,No return,This product is covered under our 1-year warranty.
29,Product 29,Toys,440.65,Available,30-day return,Shipping takes 5-7 business days.
30,Product 30,Home & Kitchen,141.82,Available,Refund within 14 days,This product is covered under our 1-year warranty.
31,Product 31,Books,38.59,Out of Stock,Exchange only,Shipping takes 5-7 business days.
32,Product 32,Home & Kitchen,111.01,Available,No return,This item is eligible for free returns within 30 days.
33,Product 33,Sports,99.37,Out of Stock,No return,This item is eligible for free returns within 30 days.
34,Product 34,Electronics,416.95,Out of Stock,Refund within 14 days,This item is eligible for free returns within 30 days.
35,Product 35,Beauty,69.14,Available,30-day return,"For installation assistance, check our user guide."
36,Product 36,Electronics,93.41,Out of Stock,30-day return,"For warranty details, contact our support team."
37,Product 37,Clothing,211.98,Out of Stock,30-day return,This item is eligible for free returns within 30 days.
38,Product 38,Home & Kitchen,12.96,Available,Refund within 14 days,This product is covered under our 1-year warranty.
39,Product 39,Sports,62.42,Out of Stock,Refund within 14 days,"For installation assistance, check our user guide."
40,Product 40,Beauty,201.85,Out of Stock,30-day return,"For installation assistance, check our user guide."
41,Product 41,Clothing,486.62,Out of Stock,Refund within 14 days,Shipping takes 5-7 business days.
42,Product 42,Beauty,110.07,Available,30-day return,Shipping takes 5-7 business days.
43,Product 43,Clothing,132.03,Out of Stock,Refund within 14 days,"For installation assistance, check our user guide."
44,Product 44,Beauty,421.82,Available,30-day return,This product is covered under our 1-year warranty.
45,Product 45,Home & Kitchen,21.01,Available,No return,This product is covered under our 1-year warranty.
46,Product 46,Toys,177.43,Available,No return,"For warranty details, contact our support team."
47,Product 47,Sports,272.93,Out of Stock,Exchange only,Shipping takes 5-7 business days.
48,Product 48,Home & Kitchen,39.96,Out of Stock,Refund within 14 days,"For installation assistance, check our user guide."
49,Product 49,Home & Kitchen,216.99,Available,No return,Shipping takes 5-7 business days.
50,Product 50,Automotive,249.5,Out of Stock,Refund within 14 days,This item is eligible for free returns within 30 days.
51,Product 51,Beauty,120.37,Available,Exchange only,This product is covered under our 1-year warranty.
52,Product 52,Beauty,378.45,Available,Refund within 14 days,Shipping takes 5-7 business days.
53,Product 53,Toys,303.79,Available,Exchange only,"For warranty details, contact our support team."
54,Product 54,Books,397.36,Out of Stock,No return,This product is covered under our 1-year warranty.
55,Product 55,Beauty,309.63,Out of Stock,No return,This item is eligible for free returns within 30 days.
56,Product 56,Electronics,90.96,Available,No return,"For installation assistance, check our user guide."
57,Product 57,Electronics,256.19,Out of Stock,No return,"For warranty details, contact our support team."
58,Product 58,Automotive,260.85,Available,30-day return,"For warranty details, contact our support team."
59,Product 59,Beauty,122.89,Available,30-day return,"For warranty details, contact our support team."
60,Product 60,Books,466.34,Available,Exchange only,This product is covered under our 1-year warranty.
61,Product 61,Sports,111.92,Available,No return,"For warranty details, contact our support team."
62,Product 62,Electronics,487.88,Available,No return,This product is covered under our 1-year warranty.
63,Product 63,Home & Kitchen,302.4,Out of Stock,No return,Shipping takes 5-7 business days.
64,Product 64,Beauty,364.63,Available,No return,"For warranty details, contact our support team."
65,Product 65,Automotive,191.6,Out of Stock,No return,This product is covered under our 1-year warranty.
66,Product 66,Beauty,261.16,Out of Stock,30-day return,This product is covered under our 1-year warranty.
67,Product 67,Toys,327.34,Out of Stock,Refund within 14 days,This item is eligible for free returns within 30 days.
68,Product 68,Books,417.6,Available,Exchange only,Shipping takes 5-7 business days.
69,Product 69,Clothing,272.09,Out of Stock,No return,"For warranty details, contact our support team."
70,Product 70,Books,281.31,Out of Stock,Refund within 14 days,This product is covered under our 1-year warranty.
71,Product 71,Home & Kitchen,308.93,Out of Stock,No return,This item is eligible for free returns within 30 days.
72,Product 72,Books,473.81,Available,30-day return,Shipping takes 5-7 business days.
73,Product 73,Clothing,5.45,Available,Exchange only,Shipping takes 5-7 business days.
74,Product 74,Books,245.34,Available,Exchange only,This product is covered under our 1-year warranty.
75,Product 75,Automotive,156.47,Available,No return,"For installation assistance, check our user guide."
76,Product 76,Home & Kitchen,487.33,Out of Stock,Exchange only,This product is covered under our 1-year warranty.
77,Product 77,Home & Kitchen,252.77,Available,30-day return,This product is covered under our 1-year warranty.
78,Product 78,Automotive,464.85,Available,30-day return,"For warranty details, contact our support team."
79,Product 79,Home & Kitchen,148.8,Available,Refund within 14 days,"For warranty details, contact our support team."
80,Product 80,Toys,340.65,Out of Stock,No return,Shipping takes 5-7 business days.
81,Product 81,Automotive,114.05,Available,30-day return,Shipping takes 5-7 business days.
82,Product 82,Sports,12.8,Out of Stock,Refund within 14 days,Shipping takes 5-7 business days.
83,Product 83,Clothing,242.5,Out of Stock,Exchange only,This item is eligible for free returns within 30 days.
84,Product 84,Sports,391.29,Available,Exchange only,"For installation assistance, check our user guide."
85,Product 85,Automotive,485.49,Out of Stock,Refund within 14 days,"For warranty details, contact our support team."
86,Product 86,Electronics,236.04,Available,Exchange only,Shipping takes 5-7 business days.
87,Product 87,Toys,87.36,Available,Refund within 14 days,"For warranty details, contact our support team."
88,Product 88,Automotive,25.02,Out of Stock,30-day return,"For installation assistance, check our user guide."
89,Product 89,Books,330.3,Out of Stock,Exchange only,Shipping takes 5-7 business days.
90,Product 90,Electronics,89.13,Out of Stock,No return,This item is eligible for free returns within 30 days.
91,Product 91,Sports,439.41,Available,No return,This item is eligible for free returns within 30 days.
92,Product 92,Toys,24.55,Out of Stock,Exchange only,This item is eligible for free returns within 30 days.
93,Product 93,Electronics,262.04,Out of Stock,Exchange only,This item is eligible for free returns within 30 days.
94,Product 94,Home & Kitchen,372.21,Available,30-day return,This item is eligible for free returns within 30 days.
95,Product 95,Home & Kitchen,263.03,Out of Stock,Exchange only,This item is eligible for free returns within 30 days.
96,Product 96,Home & Kitchen,246.16,Available,No return,This item is eligible for free returns within 30 days.
97,Product 97,Electronics,274.68,Available,Exchange only,"For installation assistance, check our user guide."
98,Product 98,Sports,155.27,Out of Stock,Exchange only,"For warranty details, contact our support team."
99,Product 99,Books,262.16,Available,No return,"For installation assistance, check our user guide."
100,Product 100,Electronics,110.26,Out of Stock,Exchange only,"For installation assistance, check our user guide."
101,Product 101,Sports,385.58,Available,30-day return,"For warranty details, contact our support team."
102,Product 102,Electronics,74.59,Out of Stock,Refund within 14 days,"For installation assistance, check our user guide."
103,Product 103,Clothing,78.13,Available,No return,"For installation assistance, check our user guide."
104,Product 104,Beauty,468.56,Out of Stock,No return,"For installation assistance, check our user guide."
105,Product 105,Automotive,353.08,Available,30-day return,"For installation assistance, check our user guide."
106,Product 106,Automotive,174.63,Available,No return,This product is covered under our 1-year warranty.
107,Product 107,Beauty,168.2,Available,Exchange only,"For warranty details, contact our support team."
108,Product 108,Automotive,27.98,Out of Stock,No return,Shipping takes 5-7 business days.
109,Product 109,Home & Kitchen,414.68,Out of Stock,Refund within 14 days,This item is eligible for free returns within 30 days.
110,Product 110,Clothing,446.34,Out of Stock,Exchange only,This product is covered under our 1-year warranty.
111,Product 111,Home & Kitchen,98.27,Available,Exchange only,"For warranty details, contact our support team."
112,Product 112,Books,431.55,Available,Exchange only,"For warranty details, contact our support team."
113,Product 113,Home & Kitchen,396.83,Available,No return,This product is covered under our 1-year warranty.
114,Product 114,Home & Kitchen,293.53,Available,Exchange only,This item is eligible for free returns within 30 days.
115,Product 115,Clothing,314.02,Available,Exchange only,Shipping takes 5-7 business days.
116,Product 116,Clothing,369.67,Available,No return,This product is covered under our 1-year warranty.
117,Product 117,Toys,115.14,Available,No return,"For installation assistance, check our user guide."
118,Product 118,Toys,471.26,Available,Exchange only,Shipping takes 5-7 business days.
119,Product 119,Home & Kitchen,350.18,Available,No return,This item is eligible for free returns within 30 days.
120,Product 120,Clothing,231.95,Out of Stock,30-day return,This item is eligible for free returns within 30 days.
121,Product 121,Books,313.46,Available,Refund within 14 days,"For warranty details, contact our support team."
122,Product 122,Automotive,250.46,Available,No return,Shipping takes 5-7 business days.
123,Product 123,Sports,495.77,Out of Stock,No return,This product is covered under our 1-year warranty.
124,Product 124,Electronics,117.62,Out of Stock,No return,This item is eligible for free returns within 30 days.
125,Product 125,Toys,386.79,Out of Stock,No return,This item is eligible for free returns within 30 days.
126,Product 126,Books,90.13,Out of Stock,30-day return,Shipping takes 5-7 business days.
127,Product 127,Clothing,470.51,Available,30-day return,This item is eligible for free returns within 30 days.
128,Product 128,Automotive,356.3,Available,No return,Shipping takes 5-7 business days.
129,Product 129,Home & Kitchen,42.76,Out of Stock,No return,This item is eligible for free returns within 30 days.
130,Product 130,Books,255.53,Available,No return,This item is eligible for free returns within 30 days.
131,Product 131,Beauty,470.64,Out of Stock,Exchange only,This item is eligible for free returns within 30 days.
132,Product 132,Sports,185.32,Out of Stock,30-day return,"For warranty details, contact our support team."
133,Product 133,Beauty,139.82,Available,30-day return,This item is eligible for free returns within 30 days.
134,Product 134,Automotive,405.3,Out of Stock,30-day return,"For warranty details, contact our support team."
135,Product 135,Sports,481.35,Out of Stock,Exchange only,"For warranty details, contact our support team."
136,Product 136,Clothing,481.78,Out of Stock,Refund within 14 days,Shipping takes 5-7 business days.
137,Product 137,Automotive,368.39,Out of Stock,No return,Shipping takes 5-7 business days.
138,Product 138,Beauty,363.88,Available,Exchange only,Shipping takes 5-7 business days.
139,Product 139,Automotive,301.4,Out of Stock,Exchange only,This product is covered under our 1-year warranty.
140,Product 140,Books,246.96,Available,Refund within 14 days,"For warranty details, contact our support team."
141,Product 141,Beauty,228.57,Out of Stock,Refund within 14 days,Shipping takes 5-7 business days.
142,Product 142,Books,105.96,Available,Exchange only,This item is eligible for free returns within 30 days.
143,Product 143,Clothing,215.99,Out of Stock,No return,"For installation assistance, check our user guide."
144,Product 144,Toys,15.01,Available,Exchange only,This product is covered under our 1-year warranty.
145,Product 145,Beauty,14.34,Out of Stock,No return,Shipping takes 5-7 business days.
146,Product 146,Books,400.37,Available,30-day return,"For installation assistance, check our user guide."
147,Product 147,Books,167.89,Out of Stock,30-day return,"For installation assistance, check our user guide."
148,Product 148,Beauty,371.36,Available,Refund within 14 days,Shipping takes 5-7 business days.
149,Product 149,Sports,152.51,Available,No return,This product is covered under our 1-year warranty.
150,Product 150,Home & Kitchen,74.16,Available,Refund within 14 days,"For warranty details, contact our support team."
151,Product 151,Electronics,102.59,Available,30-day return,"For installation assistance, check our user guide."
152,Product 152,Electronics,462.64,Available,Refund within 14 days,"For installation assistance, check our user guide."
153,Product 153,Automotive,271.08,Out of Stock,30-day return,"For installation assistance, check our user guide."
154,Product 154,Clothing,202.93,Available,No return,This item is eligible for free returns within 30 days.
155,Product 155,Books,369.84,Out of Stock,Exchange only,This item is eligible for free returns within 30 days.
156,Product 156,Electronics,220.49,Available,Refund within 14 days,"For warranty details, contact our support team."
157,Product 157,Beauty,368.99,Available,No return,This item is eligible for free returns within 30 days.
158,Product 158,Electronics,429.84,Out of Stock,Refund within 14 days,Shipping takes 5-7 business days.
159,Product 159,Toys,225.89,Available,Refund within 14 days,This product is covered under our 1-year warranty.
160,Product 160,Clothing,229.47,Out of Stock,Exchange only,This product is covered under our 1-year warranty.
161,Product 161,Clothing,312.69,Available,No return,"For warranty details, contact our support team."
162,Product 162,Beauty,484.73,Available,Exchange only,"For installation assistance, check our user guide."
163,Product 163,Beauty,237.07,Available,No return,This item is eligible for free returns within 30 days.
164,Product 164,Automotive,37.98,Available,Exchange only,"For installation assistance, check our user guide."
165,Product 165,Toys,162.05,Available,Exchange only,This product is covered under our 1-year warranty.
166,Product 166,Automotive,454.98,Out of Stock,Refund within 14 days,"For warranty details, contact our support team."
167,Product 167,Beauty,498.83,Out of Stock,Exchange only,"For warranty details, contact our support team."
168,Product 168,Toys,181.74,Available,Refund within 14 days,"For installation assistance, check our user guide."
169,Product 169,Automotive,464.61,Available,No return,This product is covered under our 1-year warranty.
170,Product 170,Automotive,66.37,Available,Refund within 14 days,"For warranty details, contact our support team."
171,Product 171,Toys,430.08,Out of Stock,No return,"For installation assistance, check our user guide."
172,Product 172,Sports,57.79,Out of Stock,30-day return,This product is covered under our 1-year warranty.
173,Product 173,Toys,168.11,Available,Refund within 14 days,"For installation assistance, check our user guide."
174,Product 174,Electronics,340.98,Out of Stock,Refund within 14 days,This product is covered under our 1-year warranty.
175,Product 175,Beauty,321.24,Out of Stock,30-day return,"For installation assistance, check our user guide."
176,Product 176,Toys,413.2,Out of Stock,No return,"For installation assistance, check our user guide."
177,Product 177,Toys,458.4,Available,Exchange only,"For installation assistance, check our user guide."
178,Product 178,Books,344.27,Out of Stock,Refund within 14 days,"For installation assistance, check our user guide."
179,Product 179,Toys,296.94,Out of Stock,No return,"For warranty details, contact our support team."
180,Product 180,Clothing,286.15,Out of Stock,30-day return,"For installation assistance, check our user guide."
181,Product 181,Beauty,329.58,Available,Exchange only,Shipping takes 5-7 business days.
182,Product 182,Beauty,12.64,Out of Stock,No return,This product is covered under our 1-year warranty.
183,Product 183,Electronics,413.6,Available,30-day return,This product is covered under our 1-year warranty.
184,Product 184,Toys,8.67,Available,Exchange only,This item is eligible for free returns within 30 days.
185,Product 185,Sports,239.8,Out of Stock,Refund within 14 days,This product is covered under our 1-year warranty.
186,Product 186,Sports,421.1,Out of Stock,30-day return,This product is covered under our 1-year warranty.
187,Product 187,Electronics,323.29,Available,Refund within 14 days,"For installation assistance, check our user guide."
188,Product 188,Home & Kitchen,421.31,Out of Stock,Exchange only,"For installation assistance, check our user guide."
189,Product 189,Automotive,433.87,Out of Stock,Exchange only,"For installation assistance, check our user guide."
190,Product 190,Toys,261.89,Available,30-day return,"For installation assistance, check our user guide."
191,Product 191,Beauty,306.28,Available,No return,"For warranty details, contact our support team."
192,Product 192,Beauty,427.87,Available,30-day return,"For installation assistance, check our user guide."
193,Product 193,Toys,53.9,Available,Exchange only,"For installation assistance, check our user guide."
194,Product 194,Electronics,102.34,Out of Stock,Refund within 14 days,"For installation assistance, check our user guide."
195,Product 195,Sports,462.81,Available,No return,"For installation assistance, check our user guide."
196,Product 196,Clothing,386.16,Available,30-day return,Shipping takes 5-7 business days.
197,Product 197,Books,342.83,Available,Exchange only,"For warranty details, contact our support team."
198,Product 198,Sports,432.3,Available,Exchange only,Shipping takes 5-7 business days.
199,Product 199,Clothing,421.65,Out of Stock,No return,"For installation assistance, check our user guide."
200,Product 200,Clothing,466.37,Available,30-day return,This item is eligible for free returns within 30 days.
201,Product 201,Electronics,23.91,Available,30-day return,"For installation assistance, check our user guide."
202,Product 202,Toys,302.64,Out of Stock,No return,This product is covered under our 1-year warranty.
203,Product 203,Clothing,222.27,Available,Refund within 14 days,Shipping takes 5-7 business days.
204,Product 204,Beauty,380.8,Available,Exchange only,This item is eligible for free returns within 30 days.
205,Product 205,Automotive,68.93,Out of Stock,No return,"For warranty details, contact our support team."
206,Product 206,Electronics,429.55,Available,Exchange only,"For installation assistance, check our user guide."
207,Product 207,Electronics,185.41,Available,Exchange only,This product is covered under our 1-year warranty.
208,Product 208,Books,27.23,Available,Exchange only,This item is eligible for free returns within 30 days.
209,Product 209,Home & Kitchen,187.42,Available,No return,"For warranty details, contact our support team."
210,Product 210,Electronics,126.23,Available,30-day return,"For warranty details, contact our support team."
211,Product 211,Clothing,127.56,Available,No return,Shipping takes 5-7 business days.
212,Product 212,Sports,87.82,Available,30-day return,"For installation assistance, check our user guide."
213,Product 213,Clothing,73.06,Available,Exchange only,This item is eligible for free returns within 30 days.
214,Product 214,Beauty,494.13,Available,Refund within 14 days,This product is covered under our 1-year warranty.
215,Product 215,Beauty,380.35,Available,30-day return,This item is eligible for free returns within 30 days.
216,Product 216,Toys,482.79,Available,30-day return,"For warranty details, contact our support team."
217,Product 217,Automotive,179.91,Out of Stock,No return,"For installation assistance, check our user guide."
218,Product 218,Clothing,289.36,Available,30-day return,"For installation assistance, check our user guide."
219,Product 219,Home & Kitchen,265.53,Available,No return,"For warranty details, contact our support team."
220,Product 220,Beauty,41.52,Out of Stock,No return,This item is eligible for free returns within 30 days.
221,Product 221,Automotive,173.57,Out of Stock,Exchange only,This item is eligible for free returns within 30 days.
222,Product 222,Home & Kitchen,390.54,Available,Refund within 14 days,This item is eligible for free returns within 30 days.
223,Product 223,Clothing,307.75,Out of Stock,Exchange only,"For installation assistance, check our user guide."
224,Product 224,Books,37,Out of Stock,Exchange only,This product is covered under our 1-year warranty.
225,Product 225,Electronics,388.98,Out of Stock,Exchange only,"For warranty details, contact our support team."
226,Product 226,Electronics,51.61,Out of Stock,No return,"For installation assistance, check our user guide."
227,Product 227,Sports,289.77,Out of Stock,30-day return,"For warranty details, contact our support team."
228,Product 228,Electronics,136.97,Out of Stock,No return,"For warranty details, contact our support team."
229,Product 229,Automotive,128.04,Out of Stock,30-day return,This item is eligible for free returns within 30 days.
230,Product 230,Clothing,449.79,Available,30-day return,"For installation assistance, check our user guide."
231,Product 231,Clothing,409.36,Out of Stock,Refund within 14 days,Shipping takes 5-7 business days.
232,Product 232,Home & Kitchen,72.49,Out of Stock,Refund within 14 days,"For warranty details, contact our support team."
233,Product 233,Toys,331.42,Out of Stock,30-day return,"For warranty details, contact our support team."
234,Product 234,Beauty,72.92,Available,Exchange only,This item is eligible for free returns within 30 days.
235,Product 235,Beauty,266.73,Out of Stock,Exchange only,"For installation assistance, check our user guide."
236,Product 236,Sports,197.95,Available,No return,This item is eligible for free returns within 30 days.
237,Product 237,Books,420.03,Out of Stock,30-day return,"For installation assistance, check our user guide."
238,Product 238,Toys,169.72,Out of Stock,30-day return,This product is covered under our 1-year warranty.
239,Product 239,Automotive,5.76,Available,30-day return,Shipping takes 5-7 business days.
240,Product 240,Automotive,464.22,Available,Exchange only,"For warranty details, contact our support team."
241,Product 241,Clothing,268.46,Available,30-day return,"For installation assistance, check our user guide."
